vuln_id,asset_id,cve_id,severity,cvss_score,cwe_type,discovery_date,status,patch_due_days,exploit_available
VULN-00023,AST-0498,CVE-2023-7809,Low,2.0,CWE-287,2025-10-28,Risk Accepted,14,No
VULN-00024,AST-0045,CVE-2023-6993,High,8.7,CWE-20,2025-12-04,Risk Accepted,14,Yes
VULN-00025,AST-0379,CVE-2023-1971,High,8.2,CWE-119,2025-04-25,Risk Accepted,7,Yes
VULN-00026,AST-0113,CVE-2023-5389,Medium,5.4,CWE-89,2025-11-18,In Progress,90,Yes
VULN-00027,AST-0039,CVE-2023-8389,Low,3.1,CWE-119,2025-07-01,Risk Accepted,30,No
VULN-00028,AST-0140,CVE-2023-8055,Low,1.1,CWE-20,2026-01-18,In Progress,7,No
VULN-00029,AST-0192,CVE-2023-1972,Critical,9.8,CWE-200,2025-12-23,Closed,90,Yes
VULN-00030,AST-0195,CVE-2023-1132,High,7.2,CWE-89,2026-01-12,Closed,90,Yes
VULN-00031,AST-0090,CVE-2023-1273,High,8.1,CWE-119,2025-11-12,Closed,14,Yes
VULN-00032,AST-0090,CVE-2023-4534,High,8.0,CWE-287,2025-09-24,Closed,90,Yes
VULN-00033,AST-0095,CVE-2023-4470,Medium,6.7,CWE-89,2025-07-09,In Progress,60,No
VULN-00034,AST-0326,CVE-2023-5139,High,7.9,CWE-79,2025-10-06,In Progress,90,Yes
VULN-00035,AST-0480,CVE-2023-9123,Critical,9.5,CWE-20,2025-11-29,In Progress,14,No
VULN-00036,AST-0408,CVE-2023-3545,High,8.7,CWE-20,2025-08-01,Open,7,Yes
VULN-00037,AST-0102,CVE-2023-9788,High,8.5,CWE-200,2026-02-23,Closed,7,No
VULN-00038,AST-0337,CVE-2023-7931,Low,2.3,CWE-20,2026-03-18,Closed,14,Yes
VULN-00039,AST-0481,CVE-2023-8729,Low,3.1,CWE-119,2025-04-17,Closed,14,No
VULN-00040,AST-0094,CVE-2023-5693,High,8.3,CWE-89,2026-02-03,Risk Accepted,30,No
VULN-00041,AST-0027,CVE-2023-9123,High,7.3,CWE-287,2026-02-21,Risk Accepted,90,Yes
VULN-00042,AST-0117,CVE-2023-2262,High,8.1,CWE-200,2025-06-16,In Progress,90,Yes
VULN-00043,AST-0209,CVE-2023-5942,Low,0.6,CWE-79,2026-01-11,In Progress,30,No
VULN-00044,AST-0125,CVE-2023-7274,High,8.2,CWE-79,2025-09-26,Closed,60,Yes
VULN-00045,AST-0210,CVE-2023-3340,Medium,4.6,CWE-79,2025-08-25,Closed,30,Yes
VULN-00046,AST-0088,CVE-2023-5055,Critical,9.0,CWE-287,2025-07-31,Risk Accepted,14,No
VULN-00047,AST-0071,CVE-2023-5732,Low,3.5,CWE-200,2025-06-14,Risk Accepted,7,No
VULN-00048,AST-0495,CVE-2023-4434,High,7.3,CWE-79,2025-07-07,Closed,7,No
VULN-00049,AST-0094,CVE-2023-4434,Medium,6.8,CWE-20,2026-02-05,In Progress,60,Yes
VULN-00050,AST-0012,CVE-2023-3735,Critical,9.5,CWE-79,2025-08-23,Closed,90,No
VULN-00051,AST-0068,CVE-2023-8291,Critical,9.5,CWE-89,2025-05-24,Risk Accepted,14,Yes
VULN-00052,AST-0099,CVE-2023-4678,Critical,9.3,CWE-89,2025-05-21,Risk Accepted,90,No
VULN-00053,AST-0162,CVE-2023-7176,Medium,4.9,CWE-79,2025-09-09,Risk Accepted,90,No
VULN-00054,AST-0174,CVE-2023-4203,High,7.1,CWE-119,2025-05-22,Open,30,No
VULN-00055,AST-0113,CVE-2023-6225,High,7.2,CWE-89,2025-09-01,Closed,7,No
VULN-00056,AST-0156,CVE-2023-1535,Critical,9.3,CWE-119,2026-03-10,Risk Accepted,30,Yes
VULN-00057,AST-0364,CVE-2023-3684,Low,0.8,CWE-119,2025-08-26,Closed,14,No
VULN-00058,AST-0234,CVE-2023-3281,Critical,9.3,CWE-20,2025-12-05,In Progress,30,Yes
VULN-00059,AST-0071,CVE-2023-8826,High,8.4,CWE-79,2025-07-26,Open,30,No
VULN-00060,AST-0462,CVE-2023-9377,High,8.1,CWE-119,2026-02-22,Risk Accepted,90,No
VULN-00061,AST-0451,CVE-2023-2133,High,7.9,CWE-119,2025-05-01,Open,90,Yes
VULN-00062,AST-0302,CVE-2023-6711,Critical,9.5,CWE-89,2026-01-23,In Progress,14,Yes
VULN-00063,AST-0320,CVE-2023-2133,High,7.1,CWE-287,2025-10-10,Risk Accepted,14,Yes
VULN-00064,AST-0222,CVE-2023-8035,Medium,4.9,CWE-79,2025-11-09,Open,60,No
VULN-00065,AST-0120,CVE-2023-5402,Medium,6.5,CWE-119,2025-06-02,Open,90,No
VULN-00066,AST-0151,CVE-2023-9366,Critical,9.4,CWE-200,2026-04-08,Open,7,Yes
VULN-00067,AST-0228,CVE-2023-1207,Medium,6.5,CWE-20,2025-09-09,Risk Accepted,30,No
VULN-00068,AST-0471,CVE-2023-6747,Low,2.3,CWE-79,2025-05-15,In Progress,30,No
VULN-00069,AST-0400,CVE-2023-6133,High,8.2,CWE-287,2025-11-15,Risk Accepted,7,No
VULN-00070,AST-0030,CVE-2023-4971,Medium,6.0,CWE-287,2025-08-06,Risk Accepted,30,No
VULN-00071,AST-0099,CVE-2023-8717,Critical,9.3,CWE-20,2026-03-03,Closed,30,No
VULN-00072,AST-0162,CVE-2023-3858,Critical,10.0,CWE-89,2025-12-15,Closed,60,No
VULN-00073,AST-0429,CVE-2023-4314,Medium,6.1,CWE-287,2025-12-11,Open,14,No
VULN-00074,AST-0003,CVE-2023-3755,High,8.7,CWE-287,2026-03-24,Risk Accepted,90,No
VULN-00075,AST-0184,CVE-2023-8586,Critical,9.5,CWE-79,2026-03-15,Closed,90,No
VULN-00076,AST-0389,CVE-2023-7146,High,8.5,CWE-200,2025-09-02,Open,14,Yes
VULN-00077,AST-0176,CVE-2023-1478,High,8.6,CWE-79,2025-11-25,Risk Accepted,7,No
VULN-00078,AST-0229,CVE-2023-7590,High,7.5,CWE-119,2025-06-28,Risk Accepted,7,Yes
VULN-00079,AST-0082,CVE-2023-3588,High,7.7,CWE-119,2026-01-13,In Progress,60,No
VULN-00080,AST-0331,CVE-2023-9474,Medium,4.5,CWE-20,2025-05-12,Open,30,Yes
VULN-00081,AST-0245,CVE-2023-6081,Low,0.3,CWE-200,2025-05-02,In Progress,14,Yes
VULN-00082,AST-0096,CVE-2023-8492,High,7.5,CWE-200,2025-12-27,Open,7,No
VULN-00083,AST-0035,CVE-2023-1011,High,8.2,CWE-79,2025-07-12,In Progress,30,No
VULN-00084,AST-0045,CVE-2023-9109,Medium,5.4,CWE-20,2026-02-09,Risk Accepted,30,Yes
VULN-00085,AST-0035,CVE-2023-5402,Low,1.2,CWE-200,2025-08-05,Risk Accepted,90,Yes
VULN-00086,AST-0290,CVE-2023-7919,Critical,9.5,CWE-20,2025-05-15,Closed,30,Yes
VULN-00087,AST-0195,CVE-2023-6340,Low,0.3,CWE-287,2026-03-13,Closed,30,No
VULN-00088,AST-0406,CVE-2023-9019,Medium,4.5,CWE-89,2025-07-14,Open,90,No
VULN-00089,AST-0131,CVE-2023-3017,Medium,6.0,CWE-79,2026-03-17,Risk Accepted,30,No
VULN-00090,AST-0049,CVE-2023-2380,Low,1.6,CWE-79,2025-05-24,In Progress,30,Yes
VULN-00091,AST-0135,CVE-2023-4751,Low,3.5,CWE-20,2025-09-09,Closed,14,Yes
VULN-00092,AST-0472,CVE-2023-3725,Medium,4.3,CWE-287,2025-07-31,Closed,90,Yes
VULN-00093,AST-0454,CVE-2023-3692,Medium,5.9,CWE-20,2025-10-08,In Progress,30,No
VULN-00094,AST-0068,CVE-2023-1752,Medium,5.1,CWE-20,2025-12-17,Risk Accepted,7,No
VULN-00095,AST-0052,CVE-2023-1793,Critical,9.9,CWE-200,2026-03-04,Open,60,Yes
VULN-00096,AST-0147,CVE-2023-7809,Critical,9.9,CWE-200,2025-09-03,Closed,60,Yes
VULN-00097,AST-0243,CVE-2023-2599,High,8.0,CWE-20,2025-06-17,Risk Accepted,90,No
VULN-00098,AST-0001,CVE-2023-2420,High,7.6,CWE-89,2025-09-05,Open,60,No
VULN-00099,AST-0254,CVE-2023-7437,High,7.6,CWE-79,2025-08-30,Risk Accepted,30,Yes
VULN-00100,AST-0064,CVE-2023-8586,High,8.1,CWE-119,2025-07-05,Open,14,No
VULN-00101,AST-0308,CVE-2023-3458,Low,1.6,CWE-119,2025-12-31,Risk Accepted,7,Yes
VULN-00102,AST-0350,CVE-2023-1042,High,8.4,CWE-79,2025-07-27,Closed,90,Yes
VULN-00103,AST-0388,CVE-2023-1848,Critical,9.5,CWE-287,2026-01-12,In Progress,14,No
VULN-00104,AST-0022,CVE-2023-8272,Medium,4.4,CWE-200,2026-04-13,Closed,14,Yes
VULN-00105,AST-0355,CVE-2023-6134,Critical,9.3,CWE-119,2026-01-05,Closed,60,Yes
VULN-00106,AST-0228,CVE-2023-5380,Medium,6.9,CWE-20,2025-12-22,In Progress,14,No
VULN-00107,AST-0375,CVE-2023-8035,Critical,9.2,CWE-89,2025-05-12,In Progress,7,Yes
VULN-00108,AST-0358,CVE-2023-9510,Critical,9.4,CWE-79,2025-12-07,Risk Accepted,30,Yes
VULN-00109,AST-0457,CVE-2023-8291,Critical,9.7,CWE-79,2025-12-17,Open,7,No
VULN-00110,AST-0217,CVE-2023-2526,Low,1.5,CWE-20,2025-06-20,Risk Accepted,14,Yes
VULN-00111,AST-0388,CVE-2023-2975,Critical,9.3,CWE-79,2025-11-08,Closed,90,Yes
VULN-00112,AST-0369,CVE-2023-7566,Low,3.3,CWE-200,2026-01-23,Open,30,Yes
VULN-00113,AST-0487,CVE-2023-5945,Critical,9.5,CWE-89,2025-07-19,Closed,90,Yes
VULN-00114,AST-0084,CVE-2023-2871,Medium,6.0,CWE-89,2025-06-17,Open,90,No
VULN-00115,AST-0044,CVE-2023-3758,High,8.3,CWE-20,2025-10-11,In Progress,7,Yes
VULN-00116,AST-0447,CVE-2023-2369,Critical,9.9,CWE-200,2025-09-09,Risk Accepted,14,Yes
VULN-00117,AST-0158,CVE-2023-8357,Critical,9.7,CWE-20,2025-07-28,In Progress,60,No
VULN-00118,AST-0333,CVE-2023-8357,Medium,5.3,CWE-89,2026-04-09,Open,30,No
VULN-00119,AST-0225,CVE-2023-6890,Medium,5.2,CWE-79,2025-12-19,Open,7,Yes
VULN-00120,AST-0102,CVE-2023-9474,High,7.6,CWE-119,2026-01-07,Closed,7,No
VULN-00121,AST-0293,CVE-2023-4683,Medium,4.5,CWE-119,2025-11-17,Risk Accepted,30,No
VULN-00122,AST-0094,CVE-2023-4705,Low,3.1,CWE-89,2025-07-09,Open,14,Yes
VULN-00123,AST-0416,CVE-2023-8034,High,7.2,CWE-200,2026-01-05,Risk Accepted,90,No
VULN-00124,AST-0346,CVE-2023-6916,High,8.2,CWE-20,2025-08-18,Open,14,No
VULN-00125,AST-0295,CVE-2023-9115,Low,0.5,CWE-119,2026-03-08,Open,7,No
VULN-00126,AST-0226,CVE-2023-2900,Medium,4.0,CWE-287,2026-02-07,In Progress,30,Yes
VULN-00127,AST-0463,CVE-2023-1478,Low,2.6,CWE-119,2026-02-10,Closed,60,Yes
VULN-00128,AST-0277,CVE-2023-3734,Critical,9.0,CWE-89,2025-05-06,Risk Accepted,60,Yes
VULN-00129,AST-0249,CVE-2023-3999,Critical,9.8,CWE-89,2025-07-12,Closed,30,Yes
VULN-00130,AST-0158,CVE-2023-7703,High,8.0,CWE-119,2026-02-28,In Progress,7,No
VULN-00131,AST-0266,CVE-2023-6711,Low,3.1,CWE-79,2025-04-27,Risk Accepted,60,No
VULN-00132,AST-0123,CVE-2023-5942,Critical,10.0,CWE-287,2026-02-21,Open,7,No
VULN-00133,AST-0334,CVE-2023-8511,Low,0.2,CWE-79,2025-08-15,Open,90,No
VULN-00134,AST-0082,CVE-2023-4882,High,8.2,CWE-20,2025-09-17,Closed,7,Yes
VULN-00135,AST-0031,CVE-2023-2847,Low,1.4,CWE-200,2025-07-27,Risk Accepted,30,No
VULN-00136,AST-0454,CVE-2023-6629,Critical,9.5,CWE-89,2025-05-10,Open,30,No
VULN-00137,AST-0217,CVE-2023-9281,Medium,5.6,CWE-287,2025-07-05,Open,7,Yes
VULN-00138,AST-0199,CVE-2023-2646,Low,0.6,CWE-287,2026-04-04,Risk Accepted,7,No
VULN-00139,AST-0058,CVE-2023-1908,High,7.4,CWE-119,2025-11-21,In Progress,60,Yes
VULN-00140,AST-0142,CVE-2023-2854,Medium,4.3,CWE-79,2026-03-21,Open,60,No
VULN-00141,AST-0297,CVE-2023-8501,High,8.8,CWE-200,2026-01-18,Open,90,No
VULN-00142,AST-0206,CVE-2023-6185,Low,3.6,CWE-89,2025-08-15,In Progress,14,Yes
VULN-00143,AST-0308,CVE-2023-3161,Low,2.6,CWE-20,2025-07-06,Risk Accepted,60,Yes
VULN-00144,AST-0339,CVE-2023-9804,Medium,5.2,CWE-20,2025-12-25,Risk Accepted,14,Yes
VULN-00145,AST-0321,CVE-2023-3684,Low,2.4,CWE-287,2025-10-25,Closed,90,No
VULN-00146,AST-0008,CVE-2023-3711,High,7.4,CWE-287,2025-09-15,Closed,30,Yes
VULN-00147,AST-0010,CVE-2023-2120,High,8.0,CWE-287,2026-03-24,Closed,7,No
VULN-00148,AST-0016,CVE-2023-2685,Low,2.3,CWE-287,2026-04-05,Risk Accepted,90,No
VULN-00149,AST-0216,CVE-2023-7786,Low,3.2,CWE-79,2025-12-20,Open,60,Yes
VULN-00150,AST-0013,CVE-2023-2599,Critical,9.7,CWE-20,2025-10-10,In Progress,30,No
VULN-00151,AST-0227,CVE-2023-3181,High,8.6,CWE-20,2025-06-09,In Progress,90,Yes
VULN-00152,AST-0500,CVE-2023-8851,Medium,6.4,CWE-200,2025-07-26,In Progress,90,No
VULN-00153,AST-0381,CVE-2023-2195,High,8.0,CWE-287,2025-06-08,Closed,7,No
VULN-00154,AST-0281,CVE-2023-6986,Low,1.7,CWE-287,2025-07-19,Closed,90,Yes
VULN-00155,AST-0127,CVE-2023-8178,Critical,9.7,CWE-200,2026-01-29,Risk Accepted,14,No
VULN-00156,AST-0337,CVE-2023-7274,High,8.5,CWE-89,2025-11-19,Closed,60,Yes
VULN-00157,AST-0185,CVE-2023-5840,Critical,9.2,CWE-287,2025-11-10,Open,60,Yes
VULN-00158,AST-0041,CVE-2023-5560,Low,1.2,CWE-89,2025-07-26,In Progress,90,No
VULN-00159,AST-0334,CVE-2023-7745,Critical,9.3,CWE-89,2026-01-30,Open,14,No
VULN-00160,AST-0294,CVE-2023-1848,Critical,9.8,CWE-200,2025-11-28,Closed,60,No
VULN-00161,AST-0054,CVE-2023-6003,Critical,9.8,CWE-200,2025-09-28,In Progress,14,Yes
VULN-00162,AST-0093,CVE-2023-5558,High,7.8,CWE-119,2026-03-29,Open,30,Yes
VULN-00163,AST-0020,CVE-2023-7852,High,8.3,CWE-20,2025-11-27,Closed,14,No
VULN-00164,AST-0252,CVE-2023-3733,Critical,9.1,CWE-119,2025-09-17,In Progress,90,Yes
VULN-00165,AST-0429,CVE-2023-3999,Critical,9.7,CWE-119,2025-09-02,Open,60,No
VULN-00166,AST-0488,CVE-2023-9019,Medium,4.1,CWE-20,2025-07-09,Risk Accepted,60,Yes
VULN-00167,AST-0354,CVE-2023-9537,Medium,6.6,CWE-20,2025-06-07,Open,7,Yes
VULN-00168,AST-0306,CVE-2023-5919,Critical,9.6,CWE-287,2025-10-29,In Progress,60,Yes
VULN-00169,AST-0186,CVE-2023-8210,High,8.0,CWE-287,2025-10-23,Risk Accepted,7,Yes
VULN-00170,AST-0373,CVE-2023-7852,Critical,9.5,CWE-79,2025-05-20,Open,7,Yes
VULN-00171,AST-0032,CVE-2023-7516,High,8.5,CWE-79,2026-02-02,In Progress,30,No
VULN-00172,AST-0165,CVE-2023-5729,Low,1.8,CWE-119,2025-05-03,Closed,7,No
VULN-00173,AST-0070,CVE-2023-4496,Critical,9.5,CWE-287,2026-03-15,Open,90,Yes
VULN-00174,AST-0211,CVE-2023-3078,Critical,9.4,CWE-79,2025-05-27,Closed,30,Yes
VULN-00175,AST-0104,CVE-2023-5055,Medium,6.2,CWE-119,2025-06-13,Risk Accepted,7,No
VULN-00176,AST-0179,CVE-2023-8052,High,8.0,CWE-287,2025-12-14,Risk Accepted,90,No
VULN-00177,AST-0428,CVE-2023-9133,High,7.6,CWE-287,2025-06-16,Closed,7,Yes
VULN-00178,AST-0427,CVE-2023-6533,Critical,9.0,CWE-200,2026-02-16,Risk Accepted,90,Yes
VULN-00179,AST-0152,CVE-2023-5668,Medium,4.6,CWE-287,2026-01-04,Closed,14,No
VULN-00180,AST-0218,CVE-2023-3692,High,7.3,CWE-200,2025-09-25,Closed,14,Yes
VULN-00181,AST-0126,CVE-2023-5399,High,8.3,CWE-79,2025-12-02,Risk Accepted,90,Yes
VULN-00182,AST-0246,CVE-2023-4232,Medium,5.9,CWE-79,2025-05-09,In Progress,90,No
VULN-00183,AST-0308,CVE-2023-4751,Medium,5.0,CWE-287,2025-09-11,In Progress,7,No
VULN-00184,AST-0057,CVE-2023-6003,Critical,9.9,CWE-119,2025-09-10,Risk Accepted,30,No
VULN-00185,AST-0102,CVE-2023-1157,High,8.1,CWE-20,2025-12-02,Risk Accepted,14,Yes
VULN-00186,AST-0023,CVE-2023-3692,Medium,4.7,CWE-287,2025-10-13,Risk Accepted,30,No
VULN-00187,AST-0438,CVE-2023-7852,High,8.3,CWE-119,2025-11-06,Risk Accepted,60,No
VULN-00188,AST-0355,CVE-2023-9300,Medium,5.4,CWE-89,2025-07-21,Open,30,Yes
VULN-00189,AST-0229,CVE-2023-3684,High,7.5,CWE-287,2025-11-15,Open,7,Yes
VULN-00190,AST-0249,CVE-2023-8951,Critical,9.8,CWE-119,2026-03-15,In Progress,7,No
VULN-00191,AST-0469,CVE-2023-9499,Low,2.6,CWE-20,2025-04-19,Risk Accepted,14,No
VULN-00192,AST-0350,CVE-2023-6277,High,7.9,CWE-79,2026-01-04,Risk Accepted,30,Yes
VULN-00193,AST-0301,CVE-2023-4534,High,8.6,CWE-200,2026-01-19,In Progress,90,Yes
VULN-00194,AST-0337,CVE-2023-9105,Low,0.7,CWE-200,2025-05-29,In Progress,60,No
VULN-00195,AST-0071,CVE-2023-5740,Critical,9.2,CWE-89,2026-01-04,Open,30,No
VULN-00196,AST-0319,CVE-2023-6225,High,7.1,CWE-200,2026-03-24,Closed,60,No
VULN-00197,AST-0322,CVE-2023-3910,Low,3.4,CWE-287,2025-11-09,Closed,7,No
VULN-00198,AST-0239,CVE-2023-6289,Medium,5.7,CWE-89,2026-01-31,Risk Accepted,60,No
VULN-00199,AST-0081,CVE-2023-9109,Critical,9.5,CWE-89,2025-07-27,Risk Accepted,30,No
VULN-00200,AST-0260,CVE-2023-9133,Low,3.1,CWE-200,2026-02-07,Open,90,Yes
VULN-00201,AST-0006,CVE-2023-5773,Low,0.7,CWE-200,2025-12-19,Closed,14,Yes
VULN-00202,AST-0251,CVE-2023-8009,High,7.3,CWE-287,2025-08-25,Open,14,No
VULN-00203,AST-0031,CVE-2023-3758,Medium,6.1,CWE-287,2025-05-28,Risk Accepted,60,Yes
VULN-00204,AST-0019,CVE-2023-9115,High,8.2,CWE-79,2025-08-06,In Progress,7,Yes
VULN-00205,AST-0060,CVE-2023-5055,High,7.3,CWE-79,2025-09-30,In Progress,7,Yes
VULN-00206,AST-0241,CVE-2023-9019,Medium,6.7,CWE-119,2025-06-15,Open,30,Yes
VULN-00207,AST-0483,CVE-2023-1972,High,7.9,CWE-119,2025-10-08,In Progress,14,No
VULN-00208,AST-0435,CVE-2023-7939,High,8.5,CWE-89,2025-04-16,Closed,14,No
VULN-00209,AST-0016,CVE-2023-1440,Low,2.4,CWE-89,2026-01-20,Risk Accepted,60,Yes
VULN-00210,AST-0487,CVE-2023-7786,Critical,9.0,CWE-200,2026-03-21,Risk Accepted,14,Yes
VULN-00211,AST-0063,CVE-2023-2529,High,7.9,CWE-200,2026-01-19,Open,90,Yes
VULN-00212,AST-0272,CVE-2023-1725,Critical,9.5,CWE-200,2025-07-26,Open,60,No
VULN-00213,AST-0237,CVE-2023-1138,Medium,6.5,CWE-200,2025-10-26,Risk Accepted,14,No
VULN-00214,AST-0196,CVE-2023-5295,Low,1.4,CWE-287,2026-02-04,Open,60,Yes
VULN-00215,AST-0304,CVE-2023-7985,Medium,5.4,CWE-79,2025-06-23,Closed,90,No
VULN-00216,AST-0467,CVE-2023-7745,Medium,4.5,CWE-287,2025-10-29,Open,90,Yes
VULN-00217,AST-0497,CVE-2023-6225,Critical,9.4,CWE-287,2026-04-04,Closed,60,No
VULN-00218,AST-0357,CVE-2023-9510,Critical,9.2,CWE-200,2025-05-26,Closed,30,No
VULN-00219,AST-0183,CVE-2023-6133,Medium,5.8,CWE-119,2026-03-19,In Progress,60,No
VULN-00220,AST-0463,CVE-2023-9756,High,7.7,CWE-119,2025-12-13,Closed,30,No
VULN-00221,AST-0433,CVE-2023-6081,Low,2.9,CWE-287,2025-08-08,Open,14,No
VULN-00222,AST-0363,CVE-2023-3396,High,7.2,CWE-119,2026-03-07,Closed,90,Yes
VULN-00223,AST-0151,CVE-2023-2494,High,7.7,CWE-79,2025-12-19,Open,14,No
VULN-00224,AST-0244,CVE-2023-4371,Low,0.4,CWE-89,2025-10-29,Closed,7,Yes
VULN-00225,AST-0137,CVE-2023-4683,Low,3.6,CWE-200,2025-12-07,Closed,90,Yes
VULN-00226,AST-0274,CVE-2023-5055,High,8.2,CWE-79,2025-07-01,In Progress,90,No
VULN-00227,AST-0360,CVE-2023-8479,High,7.1,CWE-200,2025-06-13,In Progress,90,Yes
VULN-00228,AST-0151,CVE-2023-1152,Critical,9.4,CWE-79,2025-09-07,In Progress,7,No
VULN-00229,AST-0128,CVE-2023-5785,Low,1.4,CWE-119,2026-02-05,In Progress,90,Yes
VULN-00230,AST-0003,CVE-2023-8511,Critical,9.9,CWE-20,2025-06-16,Closed,30,No
VULN-00231,AST-0290,CVE-2023-8912,High,8.2,CWE-119,2025-11-10,Risk Accepted,90,Yes
VULN-00232,AST-0107,CVE-2023-5090,Medium,4.5,CWE-79,2026-02-11,Open,90,No
VULN-00233,AST-0082,CVE-2023-5295,Medium,6.7,CWE-200,2026-04-08,Closed,90,No
VULN-00234,AST-0211,CVE-2023-4470,Low,3.8,CWE-119,2025-11-06,In Progress,30,No
VULN-00235,AST-0162,CVE-2023-5005,Low,3.5,CWE-79,2026-04-06,Risk Accepted,7,No
VULN-00236,AST-0184,CVE-2023-6986,Critical,9.4,CWE-89,2025-04-15,In Progress,30,No
VULN-00237,AST-0211,CVE-2023-3219,Medium,5.5,CWE-287,2025-12-03,Closed,14,No
VULN-00238,AST-0018,CVE-2023-9482,Critical,9.4,CWE-20,2025-08-18,Open,90,Yes
VULN-00239,AST-0158,CVE-2023-6620,Low,1.3,CWE-200,2025-10-21,Closed,14,Yes
VULN-00240,AST-0435,CVE-2023-8570,Low,2.9,CWE-287,2025-04-22,In Progress,30,Yes
VULN-00241,AST-0119,CVE-2023-1478,High,7.4,CWE-200,2025-05-28,Closed,14,Yes
VULN-00242,AST-0170,CVE-2023-2678,Critical,9.9,CWE-287,2026-04-10,Risk Accepted,90,Yes
VULN-00243,AST-0076,CVE-2023-7290,Critical,9.8,CWE-200,2025-09-02,Closed,60,No
VULN-00244,AST-0153,CVE-2023-7322,Low,0.8,CWE-200,2026-03-22,Closed,60,Yes
VULN-00245,AST-0463,CVE-2023-2106,High,7.1,CWE-119,2026-03-03,Risk Accepted,90,Yes
VULN-00246,AST-0162,CVE-2023-3246,Medium,5.1,CWE-89,2026-02-22,Risk Accepted,7,No
VULN-00247,AST-0222,CVE-2023-1110,Medium,6.0,CWE-287,2025-08-12,In Progress,60,Yes
VULN-00248,AST-0106,CVE-2023-5005,Medium,5.0,CWE-20,2025-07-16,In Progress,90,No
VULN-00249,AST-0123,CVE-2023-1753,High,7.5,CWE-200,2025-05-07,Closed,30,Yes
VULN-00250,AST-0100,CVE-2023-5389,Low,1.7,CWE-287,2025-07-17,Closed,30,No
VULN-00251,AST-0371,CVE-2023-5646,Medium,5.3,CWE-89,2026-03-21,In Progress,7,No
VULN-00252,AST-0003,CVE-2023-8167,High,8.1,CWE-119,2025-11-21,In Progress,14,Yes
VULN-00253,AST-0089,CVE-2023-2406,Low,3.2,CWE-119,2025-05-15,Risk Accepted,14,No
VULN-00254,AST-0147,CVE-2023-8039,Low,1.2,CWE-200,2025-05-18,Open,60,Yes
VULN-00255,AST-0385,CVE-2023-9300,High,7.1,CWE-20,2026-01-24,Risk Accepted,7,No
VULN-00256,AST-0177,CVE-2023-1878,Medium,4.8,CWE-200,2025-10-20,Closed,30,Yes
VULN-00257,AST-0073,CVE-2023-2900,Low,0.6,CWE-287,2026-02-25,In Progress,90,Yes
VULN-00258,AST-0159,CVE-2023-7276,Medium,5.0,CWE-200,2025-05-11,Risk Accepted,60,Yes
VULN-00259,AST-0368,CVE-2023-3719,Low,2.4,CWE-287,2026-02-04,In Progress,14,No
VULN-00260,AST-0305,CVE-2023-5646,Low,2.5,CWE-119,2025-11-07,Open,7,Yes
VULN-00261,AST-0164,CVE-2023-6003,Medium,4.7,CWE-287,2026-02-06,Closed,30,No
